rownames	reference	common_name	location	dbh_class	leafstatus	param0_height	param1_height	param0_cr_width	param1_cr_width	param0_cr_depth	param1_cr_depth	stem_density	canopy_density	mor	moe	fknot	c_drag	n_drag	drag_upper_limit	rb	c_reg_soil_1_rd_1	c_reg_soil_1_rd_2	c_reg_soil_1_rd_3	c_reg_soil_2_rd_1	c_reg_soil_2_rd_2	c_reg_soil_2_rd_3	c_reg_soil_3_rd_1	c_reg_soil_3_rd_2	c_reg_soil_3_rd_3	c_reg_soil_4_rd_1	c_reg_soil_4_rd_2	c_reg_soil_4_rd_3	msw_soil_1_rd_1	msw_soil_1_rd_2	msw_soil_1_rd_3	msw_soil_2_rd_1	msw_soil_2_rd_2	msw_soil_2_rd_3	msw_soil_3_rd_1	msw_soil_3_rd_2	msw_soil_3_rd_3	msw_soil_4_rd_1	msw_soil_4_rd_2	msw_soil_4_rd_3	param0_vol	param1_vol	param2_vol	param3_vol	param4_vol	param5_vol	p_sacd0	p_sacd1	p_sacd2	p_sacd3	p_sacd4	p_cd0	p_cd1	p_cd2	p_cd3	p_cd4	p_cdb
SS	fgr	Sitka spruce	NA	NA	NA	-2.1452	1.0467	0.6418	0.1346	2.4682	0.3667	850	2.5	34000000	5.90E+09	1	2.35	0.51	25	0	153.2	178.1	156.2	135.8	157.9	138.5	148.3	172.5	151.2	168.7	196.2	172.1	519	893	519	2068	1042	2068	1205	237	1205	1070	1012	1070	6.80E-05	1.827421	0.981362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DF	fgr	Douglas fir	NA	NA	NA	-1.951	1.0343	1.83	0.1092	1.1044	0.4811	850	2.5	53000000	8.30E+09	1	2.4	0.7	25	0	146.3	170.1	149.1	129.7	150.8	132.2	141.6	164.6	144.4	161.1	187.3	164.3	499	557	499	139	0	139	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LP	fgr	Lodgepole pine	NA	NA	NA	-1.2085	1.0244	0.5932	0.1069	0.7818	0.446	850	2.5	41000000	6.40E+09	0.8	2.48	0.63	25	0	141.5	164.5	144.3	125.4	145.9	127.9	137	159.3	139.7	155.8	181.2	158.9	895	612	895	202	227	202	261	374	261	274	484	274	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP	fgr	Scots pine	NA	NA	NA	-1.7304	1.0437	0.7005	0.1198	1.3424	0.3156	850	2.5	46000000	7.30E+09	0.85	3.07	0.75	25	0	140.1	162.9	142.9	124.2	144.4	126.7	135.6	157.7	138.3	154.3	179.4	157.3	469	576	469	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP	fgr	Corsican pine	NA	NA	NA	-1.3262	1.0316	0.6827	0.1249	2.6773	0.2881	850	2.5	41000000	7.00E+09	0.85	2.57	0.61	25	0	110.9	128.9	113.1	98.3	114.3	100.2	107.3	124.8	109.5	122.1	142	124.5	432	519	432	284	0	284	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH	fgr	Western hemlock	NA	NA	NA	-1.515	1.0245	1.2906	0.1165	0.7464	0.483	850	2.5	41000000	8.90E+09	1	1.51	0.68	25	0	150.2	174.6	153.1	133.1	154.8	135.8	145.4	169	148.2	165.4	192.3	168.6	286	425	286	274	0	274	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EL	fgr	European larch	NA	NA	NA	-2.2422	1.0671	0.597	0.152	1.5045	0.3658	850	2.5	53000000	7.90E+09	0.85	3.07	0.75	25	0	145.7	169.4	148.6	129.2	150.2	131.7	141.1	164	143.8	160.5	186.6	163.6	277	296	277	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JL	fgr	Japanese larch	NA	NA	NA	-1.236	1.0348	0.1706	0.1808	0.248	0.4616	850	2.5	48000000	6.80E+09	0.85	3.07	0.75	25	0	156.8	182.3	159.9	139	161.6	141.8	151.8	176.5	154.8	172.7	200.8	176.1	607	447	607	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JLJ	fgr	Japanese larch Japan	NA	NA	NA	0	1	0.1706	0.1806	0.248	0.4616	671	3.3	33700000	6.80E+09	1	3.07	0.75	25	0	127.05	127.05	127.05	127.05	127.05	127.05	127.05	127.05	127.05	127.05	127.05	127.05	487	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HL	fgr	Hybrid larch	NA	NA	NA	-1.236	1.0348	1.547	0.1419	0.4706	0.4692	850	2.5	43000000	5.90E+09	0.85	3.07	0.75	25	0	156.8	182.3	159.9	139	161.6	141.8	151.8	176.5	154.8	172.7	200.8	176.1	607	447	607	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NS	fgr	Norway spruce	NA	NA	NA	-2.6057	1.0643	0.5824	0.115	0.4206	0.4368	850	2.5	36000000	6.30E+09	0.9	2.35	0.51	25	0	126	146.6	128.5	111.7	129.9	113.9	122	141.9	124.4	138.8	161.4	141.5	246	529	246	673	0	673	0	0	0	0	0	0	6.80E-05	1.827421	0.981362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NF	fgr	Noble fir	NA	NA	NA	-2.3502	1.0465	0.9812	0.122	0.751	0.4659	850	2.5	35000000	5.70E+09	1	4.7	0.74	25	0	114.8	133.5	117.1	101.8	118.3	103.8	111.1	129.2	113.3	126.4	147	128.9	0	331	0	0	0	0	281	312	281	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF	fgr	Grand fir	NA	NA	NA	-2.1552	1.0213	2.1633	0.0771	-0.9251	0.5968	850	2.5	34000000	5.70E+09	1	4.7	0.74	25	0	170.4	198.1	173.8	151.1	175.7	154	164.9	191.8	168.2	187.7	218.2	191.4	0	515	0	333	236	295	281	346	281	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JP	fgr	Jack pine	NA	NA	NA	0	1	0.1022	0.2918	1.0356	0.4605	850	2.5	43500000	8.07E+09	1	2.48	0.63	20	0	140	140	140	140	140	140	140	140	140	140	140	140	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0.897	348.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WS	fgr	White spruce	NA	NA	NA	0	1	0.765	0.11971	2.742	0.36	850	2.5	35200000	1.00E+10	1	2.35	0.51	20	0	206.95	206.95	206.95	206.95	206.95	206.95	206.95	206.95	206.95	206.95	206.95	206.95	0	0	0	0	0	0	0	0	0	0	0	0	0.176	1.44	342.175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS	fgr	Black spruce	NA	NA	NA	0	1	0.35	0.0953	-1.34	0.54	850	2.5	40500000	9.10E+09	1	2.35	0.51	20	0	166.7	166.7	166.7	166.7	166.7	166.7	166.7	166.7	166.7	166.7	166.7	166.7	0	0	0	0	0	0	0	0	0	0	0	0	0.164	1.588	333.364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BF	fgr	Balsam fir	NA	NA	NA	0	1	0.884	0.1104	-1.168	0.637	616	3.45	36500000	7.79E+09	1	2.4	0.7	20	0	189.07	189.07	189.07	189.07	189.07	189.07	189.07	189.07	189.07	189.07	189.07	189.07	0	0	0	0	0	0	0	0	0	0	0	0	0.152	2.139	301.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MP	fgr	Maritime pine	NA	NA	NA	0	1	0	0.15674	1.3424	0.3156	903.4	2.73	36000000	6.60E+09	0.85	3.07	0.75	25	0	125.8	168.8	144.5	124.2	144.4	126.7	135.6	157.7	138.3	154.3	179.4	157.3	633	633	633	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RP	fgr	Radiata pine	NA	NA	NA	-2.463318	1.018953	2.9566	0.0643	-0.5586	0.9244	1002	2.5	32000000	6.80E+09	1	2.35	0.51	25	0	86.369	86.369	86.369	124.2	144.4	126.7	135.6	157.7	138.3	154.3	179.4	157.3	3386	3386	3386	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BI	fgr	Birch	NA	NA	NA	-0.35	0.93	0.88	0.17	1.97	0.4	900	1.22	63000000	9.90E+09	1	1.9627	0.881	20	0	128.8	149.7	131.3	114.2	132.7	116.4	124.7	145	127.1	141.8	164.9	144.7	390	0	0	0	0	0	0	0	0	0	0	0	-4.49213	2.10253	3.98519	-2.659	-0.014097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	fgr	Beech	NA	NA	NA	-2.99	1.06	0.88	0.18	0.9	0.47	1158	1.38	65000000	9.80E+09	1	2.4141	0.904	20	0	198.5	230.8	202.4	176	204.6	179.5	192.2	223.5	195.9	218.6	254.2	223	0	658.5	0	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK	fgr	Oak	NA	NA	NA	-1.66	1.02	0.36	0.19	1.41	0.4	1158	1.38	59000000	8.30E+09	1	2.6575	0.846	20	0	198.5	230.8	202.4	176	204.6	179.5	192.2	223.5	195.9	218.6	254.2	223	0	658.5	0	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EG	fgr	Eucalyptus globulus			NA	0	1	0.064	0.1549	1.7828	0.3486	850	2.5	34000000	5.90E+09	1	2.35	0.51	20	0	153.04	153.04	153.04	153.04	153.04	153.04	153.04	153.04	153.04	153.04	153.04	153.04	1580	0	0	0	0	0	0	0	0	0	0	0	8.60E-05	1.634205	1.079539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BI.a.a.lo	Norge	Birch	alle	alle	lo	-0.35	0.93	-0.80478	0.26507	-1.122	0.501	900	1.22	53600000	1.11E+10	1	2.254	0.957	20	0	126.1	129	147.1	111.8	114.4	130.4	122.1	124.9	142.5	138.8	142.1	162.1	390	0	0	0	0	0	0	0	0	0	0	0	0.1	-18.6827	2.1461	0.1283	0.138	-0.6311	3.825279667	0.021639414	0.018076998	-2.44E-05	0	2.7528088	-0.0088316	0.0420372	0	0	2
BI.a.a.ll	Norge	Birch	alle	alle	ll	-0.35	0.93	-0.80478	0.26507	-1.122	0.501	900	0.8296	53600000	1.11E+10	1	0.4508	0	20	0	117.8	137.4	120.5	104.5	121.9	106.9	114.1	133.1	116.7	129.7	151.4	132.8	390	0	0	0	0	0	0	0	0	0	0	0	0.1	-18.6827	2.1461	0.1283	0.138	-0.6311	3.825279667	0.021639414	0.018076998	-2.44E-05	0	2.7528088	-0.0088316	0.0420372	0	0	2
NS.a.l	Norge	Norway spruce	annen	liten	NA	-2.6057	1.0643	0.5824	0.115	0.4206	0.4368	850	2.5	41200000	1.18E+10	0.9	2.35	0.51	25	0	126	146.6	128.5	111.7	129.9	113.9	122	141.9	124.4	138.8	161.4	141.5	246	529	246	673	0	673	0	0	0	0	0	0	0.52	0.02403	0.01463	-0.10983	0.15195	NA	6.747673534	0.009887979	0.013019764	0	0	0.4848915	-0.0144573	0.0509194	0	0	2
NS.a.m	Norge	Norway spruce	annen	medium	NA	-2.6057	1.0643	0.5824	0.115	0.4206	0.4368	850	2.5	41200000	1.18E+10	0.9	2.35	0.51	25	0	126	146.6	128.5	111.7	129.9	113.9	122	141.9	124.4	138.8	161.4	141.5	246	529	246	673	0	673	0	0	0	0	0	0	-31.57	0.0016	0.0186	0.63	-2.34	3.2	6.747673534	0.009887979	0.013019764	0	0	0.4848915	-0.0144573	0.0509194	0	0	2
NS.a.s	Norge	Norway spruce	annen	stor	NA	-2.6057	1.0643	0.5824	0.115	0.4206	0.4368	850	2.5	41200000	1.18E+10	0.9	2.35	0.51	25	0	126	146.6	128.5	111.7	129.9	113.9	122	141.9	124.4	138.8	161.4	141.5	246	529	246	673	0	673	0	0	0	0	0	0	10.14	0.0124	0.03117	-0.36381	0.28578	NA	6.747673534	0.009887979	0.013019764	0	0	0.4848915	-0.0144573	0.0509194	0	0	2
NS.v.a	Norge	Norway spruce	vest	alle	NA	-2.6057	1.0643	0.5824	0.115	0.4206	0.4368	850	2.5	41200000	1.18E+10	0.9	2.35	0.51	25	0	126	146.6	128.5	111.7	129.9	113.9	122	141.9	124.4	138.8	161.4	141.5	246	529	246	673	0	673	0	0	0	0	0	0	0.6844	3.0296	2.056	-1.7377	-0.9756	NA	6.747673534	0.009887979	0.013019764	0	0	0.4848915	-0.0144573	0.0509194	0	0	2
SP.a.l	Norge	Scots pine	annen	liten	NA	-1.7304	1.0437	0.7005	0.1198	1.3424	0.3156	850	2.5	54980000	1.21E+10	0.85	3.07	0.75	25	0	140.1	162.9	142.9	124.2	144.4	126.7	135.6	157.7	138.3	154.3	179.4	157.3	469	576	469	0	0	0	0	0	0	0	0	0	0.6716	0.075708	0.029679	0.004341	NA	NA	5.202627248	0.003258464	0.026770534	0	-3.27E-05	1.766441	-0.001612406	0.02370733	0	-3.60E-05	1
SP.a.s	Norge	Scots pine	annen	stor	NA	-1.7304	1.0437	0.7005	0.1198	1.3424	0.3156	850	2.5	54980000	1.21E+10	0.85	3.07	0.75	25	0	140.1	162.9	142.9	124.2	144.4	126.7	135.6	157.7	138.3	154.3	179.4	157.3	469	576	469	0	0	0	0	0	0	0	0	0	-6.3954	0.178053	0.03317	-0.003008	NA	NA	5.202627248	0.003258464	0.026770534	0	-3.27E-05	1.766441	-0.001612406	0.02370733	0	-3.60E-05	1
SP.v.a	Norge	Scots pine	vest	alle	NA	-1.7304	1.0437	0.7005	0.1198	1.3424	0.3156	850	2.5	54980000	1.21E+10	0.85	3.07	0.75	25	0	140.1	162.9	142.9	124.2	144.4	126.7	135.6	157.7	138.3	154.3	179.4	157.3	469	576	469	0	0	0	0	0	0	0	0	0	0.1424	2.0786	1.9028	-1.0259	-0.264	NA	5.202627248	0.003258464	0.026770534	0	-3.27E-05	1.766441	-0.001612406	0.02370733	0	-3.60E-05	1
